flag,changes,last date amended,days per change,days since last change,days per change till current
enable-alfred,97,2021-10-22T17:59:26.000Z,5,510,11
show-wallet,100,2022-07-13T09:38:11.000Z,6,246,8
payment-tokens,45,2023-03-15T07:46:10.000Z,24,1,24
cashier-sdk,100,2022-07-25T14:14:54.000Z,3,234,6
async-flow-enabled,100,2022-09-22T07:39:56.000Z,3,175,5
enable-bruce-redirect,100,2023-02-22T01:53:23.000Z,6,23,6
enable-bruce-adyen,100,2022-10-26T12:30:09.000Z,4,141,5
show-wallet-account-balance-limit,22,2022-08-24T09:06:20.000Z,30,204,39
show-wallet-partial-refund-trx,14,2023-02-22T01:47:43.000Z,53,23,55
show-wallet-top-up-trx,25,2022-10-26T04:59:22.000Z,24,142,30
pablo-force-circuit-breaker-open,31,2022-12-12T19:55:07.000Z,15,94,18
pablo-prefer-cybersource-apple-pay,8,2022-11-24T09:23:16.000Z,56,112,70
pablo-prefer-razer-online-banking,17,2022-08-29T01:33:08.000Z,13,200,24
pablo-showing-non-card-tokens-enabled,14,2022-09-07T07:44:22.000Z,19,190,33
wallet-pandapay-logo-pd,7,2023-01-31T05:19:42.000Z,13,45,20
wallet-pandapay-logo-ph,5,2022-09-20T05:13:52.000Z,8,178,44
show-wallet-topups,52,2022-12-20T01:22:38.000Z,14,87,16
wallet-show-transfer-link,26,2023-01-17T06:29:27.000Z,24,58,26
show-wallet-setting-payment-methods-new-tag,12,2021-09-24T11:13:23.000Z,3,538,48
show-wallet-setting-payment-methods,13,2022-04-01T03:19:48.000Z,17,350,44
show-wallet-setting-refund-destination,80,2023-03-02T07:28:40.000Z,11,14,11
show-wallet-setting,84,2023-02-01T05:49:45.000Z,10,44,11
pablo-wallet-enable-non-credit-card-paymentinstruments-endpoint,18,2022-07-28T05:18:15.000Z,26,232,39
pablo-use-ccs,17,2023-02-01T08:53:55.000Z,37,43,39
wallet-enable-onboarding,29,2022-04-01T03:28:53.000Z,10,350,22
pablo-enable-confirm-purchase-payment-method-validation,12,2021-09-02T03:51:11.000Z,3,561,49
pablo-wallet-feature-info,5,2021-10-04T04:15:05.000Z,7,529,113
pablo-wallet-topup-apm-manual,1,2021-09-15T06:32:20.000Z,0,547,547
pablo-wallet-topup-apm-inline,2,2022-03-21T06:20:30.000Z,93,360,273
pablo-send-filter-payment-methods-on-confirm,36,2023-03-01T09:48:09.000Z,14,15,14
pablo-applepay-use-alfred-dynamic-routing,11,2021-12-21T15:40:43.000Z,5,450,46
pablo-wallet-cashback,25,2023-01-17T06:20:57.000Z,17,58,19
pablo-wallet-admin-api-enabled,17,2022-10-26T07:41:54.000Z,19,141,28
pablo-deploy-enable-payment-expiry,26,2022-09-22T07:15:19.000Z,10,175,17
pablo-wallet-kyc-nudge-enabled,3,2022-04-07T03:59:59.000Z,23,344,138
pablo-deploy-trigger-refund-on-capture,3,2022-04-07T03:59:24.000Z,16,344,131
payment-enable-psp-degradation-ui,57,2023-03-15T10:40:09.000Z,6,1,6
pablo-enable-paylah-tokenization,14,2023-03-13T10:35:17.000Z,43,3,44
pablo-enable-intent-recreation,37,2022-06-06T05:53:03.000Z,2,283,10
pablo-is-testing-payme-successful-flow,1,2021-08-30T04:35:19.000Z,0,564,564
pablo-is-testing-payme-failed-flow,1,2021-08-30T04:36:11.000Z,0,564,564
pablo-is-testing-payme-expired-paycode-flow,1,2021-09-03T09:20:06.000Z,0,559,559
pablo-is-testing-payme-no-paycode-flow,1,2021-09-03T09:21:31.000Z,0,559,559
pablo-credit-card-provider-preference,61,2023-03-01T09:59:14.000Z,4,15,4
pablo-googlepay-provider-preference,8,2023-01-09T07:26:26.000Z,22,66,31
pablo-applepay-provider-preference,10,2023-03-16T10:56:47.000Z,25,0,25
pablo-enable-bruce-top-banner,11,2023-02-15T03:20:52.000Z,27,30,30
pablo-enable-bruce-card-restriction,8,2023-02-15T03:21:10.000Z,32,30,36
pablo-enable-mas-on-clients,13,2023-02-15T03:20:32.000Z,23,30,25
payment-enable-psp-promos-pill-ui,38,2023-03-15T04:30:51.000Z,7,2,7
payment-enable-new-promos-pill-ui,28,2022-11-11T02:54:23.000Z,5,126,10
pablo-bypass-alfred-processing,17,2022-08-08T06:18:28.000Z,1,220,14
pablo-enrich-hosted-page-url-courier-customer,2,2022-09-09T09:44:51.000Z,0,188,94
wallet-show-pandapay-logo,12,2023-01-31T04:25:27.000Z,11,45,15
pablo-allow-mixed-payment-with-cash,15,2023-02-17T04:09:28.000Z,9,28,11
pablo-wallet-cashback-amount-earned,10,2023-02-23T06:28:37.000Z,27,21,29
pablo-wallet-cashback-disburse,27,2023-03-04T22:54:58.000Z,11,12,12
pablo-wallet-enable-matchmove,2,2022-11-16T08:15:29.000Z,0,120,61
pablo-wallet-disable-alfred-migration,1,2022-05-11T08:05:19.000Z,0,309,309
pablo-deploy-enable-payment-expiry-worker,2,2022-11-01T07:49:02.000Z,0,135,67
pablo-wallet-topup-disabled,19,2022-12-20T01:23:39.000Z,12,87,16
wallet-topup-with-bruce,11,2023-01-04T06:53:27.000Z,27,71,33
yemek-balance-migration,7,2022-04-28T06:05:41.000Z,3,322,49
pablo-enable-mas-validation,12,2023-03-15T03:08:43.000Z,27,2,27
yemek-sap-with-oauth,3,2022-04-12T08:49:57.000Z,0,338,113
wallet-send-customtype-on-create-topup-intent,6,2022-05-11T02:38:47.000Z,4,310,56
yemek-refund-to-source-for-mahalle-and-banabi,4,2022-04-14T03:23:47.000Z,0,337,84
pablo-enable-all-cod-circuit-breaker,9,2022-10-29T10:55:59.000Z,22,138,37
pablo-enable-bruce-hosted-page-url-handling,7,2022-07-22T02:15:16.000Z,13,238,47
disable-cod-capture-call,5,2022-05-18T01:19:26.000Z,0,303,60
pablo-enable-mas-restriction-identifiers,13,2023-02-15T03:19:49.000Z,21,30,24
pablo-enable-characteristics-engine,10,2023-02-15T03:19:29.000Z,27,30,30
pablo-enable-payment-rules,12,2023-03-16T09:19:25.000Z,14,0,14
pablo-wallet-show-auto-top-up-nudge,1,2022-05-31T04:11:31.000Z,0,290,290
pablo-enable-variable-pricing,17,2023-02-02T03:09:02.000Z,14,43,17
pablo-wallet-invoice-enable-ettn-callback,4,2022-09-29T09:00:51.000Z,29,168,72
pablo-handle-manual-topup-withdrawal,3,2022-06-14T06:20:04.000Z,0,275,92
pablo-filter-out-non-balance-in-transaction-history,7,2023-03-07T01:46:51.000Z,36,10,38
pablo-disable-refund-retry-cron,18,2022-11-22T04:34:44.000Z,10,115,16
pablo-wallet-upsell-autotopup-enabled,3,2023-03-17T02:26:58.000Z,89,0,89
yemek-enable-sap-invoice-retry,4,2022-06-30T01:40:58.000Z,1,260,66
pablo-wallet-balance-limits-return-all,4,2022-08-24T09:43:16.000Z,11,204,62
pablo-wallet-cashback-email,2,2023-01-17T06:22:20.000Z,93,58,123
pablo-transaction-history-show-cash-change,6,2022-08-05T04:57:11.000Z,3,224,41
pablo-transaction-history-show-withdrawal,9,2022-09-26T09:57:18.000Z,8,171,27
yemek-enable-transfer-invoice-format,8,2022-08-29T08:31:33.000Z,0,199,25
pablo-attempt-capture-before-refund,18,2022-11-21T08:44:10.000Z,4,115,11
pablo-enable-adjustment-partial-refund-fallback,17,2023-03-16T10:32:28.000Z,8,0,8
pablo-wallet-cmt-upsell-inline-topup,7,2022-12-01T04:34:14.000Z,1,106,16
pablo-enable-wallet-balance-cache,10,2022-12-16T08:53:44.000Z,0,90,9
pablo-wallet-enable-balance-cache-invalidation,7,2022-12-16T07:55:00.000Z,0,90,13
pablo-enable-cybersource-vendor-local-legal-name,14,2023-03-01T06:49:20.000Z,5,15,7
pablo-double-payment-validation,3,2023-02-15T08:49:09.000Z,12,29,22
pablo-wallet-preference-sync-worker,11,2022-11-23T02:08:18.000Z,5,114,16
pablo-wallet-preference-sync-insert-balance,4,2022-11-23T01:58:17.000Z,15,114,44
pablo-no-filterpaymentmethods-if-empty,16,2022-09-20T09:04:42.000Z,0,177,11
pablo-send-paymentcontext-to-alfred,16,2023-03-16T09:52:47.000Z,12,0,12
pablo-transaction-history-show-cashback-clawback,3,2023-01-17T06:22:39.000Z,39,58,59
pablo-enable-wallet-pin,6,2022-11-03T08:04:45.000Z,6,133,28
wallet-enable-onboarding-v2,12,2022-11-23T02:29:48.000Z,4,114,14
pablo-generic-credit-card-topup-rollout,16,2023-01-09T03:44:45.000Z,5,67,9
pablo-enable-pmfilterer-directpayments,41,2023-03-10T03:22:57.000Z,3,7,3
pablo-enable-pmfilterer-directpayments-mit,2,2022-12-06T05:32:34.000Z,0,101,50
pablo-cod-refund-skip-cancel-call,14,2023-02-02T06:55:10.000Z,4,42,7
pablo-enable-handle-skipped-states,10,2023-01-16T03:39:03.000Z,4,60,10
pablo-disable-mixed-payment,14,2023-02-17T06:49:16.000Z,20,27,22
pablo-enable-alfred-purchase-client-rate-limit,5,2022-05-17T09:46:15.000Z,0,303,60
pablo-block-multiple-ongoing-payments-for-customer,2,2022-05-23T01:40:37.000Z,0,298,149
pablo-enable-hotfix-invoice-app-validation,11,2023-02-13T07:19:38.000Z,20,31,23
pablo-ktb-psp-degradation-message,7,2022-09-05T06:44:58.000Z,0,192,27
pablo-wallet-disable-refund-wallet-cod,16,2023-03-03T09:02:53.000Z,9,13,9
pablo-send-filter-payment-methods-on-direct-payment-confirm,13,2023-03-02T08:07:34.000Z,9,14,10
pablo-pandago-c2c-cod-as-preferred,12,2022-12-01T03:53:31.000Z,0,106,8
masterpass-yemeksepeti,27,2023-02-20T10:08:35.000Z,3,24,3
